"x"
"tBodyAcc mean X",-0.290063950077677
"tBodyAcc mean Y",-0.276296647770945
"tBodyAcc mean Z",0.127493557812821
"tBodyAcc std X",-0.094357515070434
"tBodyAcc std Y",-0.134930778217075
"tBodyAcc std Z",-0.544287619865318
"tGravityAcc mean X",0.0311185745853814
"tGravityAcc mean Y",0.0178990706944094
"tGravityAcc mean Z",0.00284051071268587
"tGravityAcc std X",0.0529349330876773
"tGravityAcc std Y",0.0178757543178191
"tGravityAcc std Z",-0.0307168489243532
"tBodyAccJerk mean X",-0.652472465604952
"tBodyAccJerk mean Y",-0.724319465485087
"tBodyAccJerk mean Z",-0.739010797973719
"tBodyAccJerk std X",-0.728962043546999
"tBodyAccJerk std Y",-0.685518330597021
"tBodyAccJerk std Z",-0.60574061487488
"tBodyGyro mean X",-0.591572847804187
"tBodyGyro mean Y",-0.492106300262602
"tBodyGyro mean Z",-0.319923340479971
"tBodyGyro std X",-0.139377452912454
"tBodyGyro std Y",0.0168244917761973
"tBodyGyro std Z",0.101486286422233
"tBodyGyroJerk mean X",0.0087056927151562
"tBodyGyroJerk mean Y",-0.00345288070217766
"tBodyGyroJerk mean Z",-0.0232647696720045
"tBodyGyroJerk std X",-0.0519229963640799
"tBodyGyroJerk std Y",-0.0948964562757056
"tBodyGyroJerk std Z",-0.143233423589677
"tBodyAccMag mean",-0.0188430317142183
"tBodyAccMag std",-0.0191300302936795
"tGravityAccMag mean",-0.0587118265315339
"tGravityAccMag std",-0.0879779239030445
"tBodyAccJerkMag mean",-0.54851371410489
"tBodyAccJerkMag std",-0.481946093783017
"tBodyGyroMag mean",-0.57385879186495
"tBodyGyroMag std",-0.563260545095842
"tBodyGyroJerkMag mean",0.0371507256133524
"tBodyGyroJerkMag std",0.0495572678687674
"fBodyAcc mean X",-0.132067398079088
"fBodyAcc mean Y",-0.185719661834236
"fBodyAcc mean Z",-0.234537231353538
"fBodyAcc std X",-0.277897042696732
"fBodyAcc std Y",-0.329363914570319
"fBodyAcc std Z",-0.367506485028464
"fBodyAccJerk mean X",-0.502667797982375
"fBodyAccJerk mean Y",-0.532251124940498
"fBodyAccJerk mean Z",-0.54329050909494
"fBodyAccJerk std X",-0.565464609272188
"fBodyAccJerk std Y",-0.586726244033911
"fBodyAccJerk std Z",-0.597543431263654
"fBodyGyro mean X",-0.855711411633066
"fBodyGyro mean Y",-0.859378040271671
"fBodyGyro mean Z",-0.862390386879082
"fBodyGyro std X",-0.86535991786489
"fBodyGyro std Y",-0.871282269346581
"fBodyGyro std Z",-0.869507549661543
"fBodyAccMag mean",-0.861643578256814
"fBodyAccMag std",-0.859373258811907
"fBodyBodyAccJerkMag mean",-0.860245770115073
"fBodyBodyAccJerkMag std",-0.857134725405941
"fBodyBodyGyroMag mean",-0.731036687890017
"fBodyBodyGyroMag std",-0.720192836980671
"fBodyBodyGyroJerkMag mean",-0.512937311054837
"fBodyBodyGyroJerkMag std",-0.511673711570411
